Name;Definition;Unit;Source;Type;VarIndex;PltExpoIndex
leaching_from_lev;cumulative amount of NO3-N leached at the base of the soil profile during the crop cycle ( emergence or budbreak to harvest);kg.ha-1;sc;real;0;0
leaching_from_plt;cumulative amount of NO3-N leached at the base of the soil profile during the crop cycle (planting to harvest);kg.ha-1;sc;real;0;0
leai;Leaf+ear area index = lai +eai;m2.m-2;p;real;0;2
lessiv;daily amount of NO3-N leached at the base of the soil profile;kg.ha-1.d-1;sc;real;0;0
lracf(1);root length density of fine roots in layer 1;cm.cm-3;p;real;1;0
lracf(2);root length density of fine roots in layer 2;cm.cm-3;p;real;2;0
lracf(3);root length density of fine roots in layer 3;cm.cm-3;p;real;3;0
lracf(4);root length density of fine roots in layer 4;cm.cm-3;p;real;4;0
lracf(5);root length density of fine roots in layer 5;cm.cm-3;p;real;5;0
lracg(1);root length density of coarse roots in layer 1;cm.cm-3;p;real;1;0
lracg(2);root length density of coarse roots in layer 2;cm.cm-3;p;real;2;0
lracg(3);root length density of coarse roots in layer 3;cm.cm-3;p;real;3;0
lracg(4);root length density of coarse roots in layer 4;cm.cm-3;p;real;4;0
lracg(5);root length density of coarse roots in layer 5;cm.cm-3;p;real;5;0
LRACH(1);root length density in soil layer 1;cm.cm-3;p;real;1;0
LRACH(2);root length density in soil layer 2;cm.cm-3;p;real;2;0
LRACH(3);root length density in soil layer 3;cm.cm-3;p;real;3;0
LRACH(4);root length density in soil layer 4;cm.cm-3;p;real;4;0
LRACH(5);root length density in soil layer 5;cm.cm-3;p;real;5;0
lracsentotf;cumulative length of senescent roots;cm root.cm-2 soil;p;real;0;1
lracsentotg;cumulative length of senescent roots;cm root.cm-2 soil;p;real;0;1
mabois;biomass removed by pruning;t.ha-1;p;real;0;2
maenfruit;biomass of harvested organ envelops;t.ha-1;p;real;0;2
mafauche;biomass of forage cuts;t.ha-1;p;real;0;0
mafauchetot;cumulative biomass of forage cuts;t.ha-1;p;real;0;0
mafeuil;biomass of leaves;t.ha-1;p;real;0;2
mafeuil_kg_ha;Dry matter of leaves;kg.ha-1;p;real;0;0
mafeuiljaune;biomass of yellow leaves;t.ha-1;p;real;0;2
mafeuiltombe;biomass of fallen leaves;t.ha-1;p;real;0;2
mafeuiltombefauche;biomass of fallen leaves between two cuts;t.ha-1;p;real;0;1
mafeuilverte;biomass of green leaves;t.ha-1;p;real;0;2
mafou;biomass of harvested organs for cut crops;t.ha-1;p;real;0;1
mafrais;aboveground fresh matter;t.ha-1;p;real;0;2
mafruit;biomass of harvested organs;t.ha-1;p;real;0;1
mafruit_kg_ha;Dry matter of harvested organs;kg.ha-1;p;real;0;0
maperenne;biomass of perennial organs;t.ha-1;p;real;0;2
maperennemort;biomass of dead perennial organs;t.ha-1;p;real;0;2
masec(n);biomass of aboveground plant (table);t.ha-1;p;real;n;2
masec_kg_ha;Aboveground dry matter;kg.ha-1;p;real;0;0
masec_mx_av_cut;Aboveground dry matter before cut(for cut crops, for others = masec(n) );t.ha-1;p;real;0;1
masecneo;biomass of newly-formed organs;t.ha-1;p;real;0;2
masecnp;biomass of aerials and non perennial organs;t.ha-1;p;real;n;2
masectot;total plant biomass (aerials + roots + perennial organs);t.ha-1;p;real;0;1
masecveg;biomass of vegetative organs;t.ha-1;p;real;0;2
matigestruc;biomass of stems (only structural parts);t.ha-1;p;real;0;2
matigestruc_kg_ha;Dry matter of stems (only structural parts);kg.ha-1;p;real;0;0
matuber;biomass of tuber (harvested organs, only calculated for sugarbeet);t.ha-1;p;real;0;1
mean_swfac_flo_p_m_150;swfac mean on the period flowering minus 150 degrees day to flowering plus 150 degrees days;0-1;p;real;0;1
mortalle;daily number of dying tillers;d-1;p;real;0;1
mortmasec;cumulative biomass of dead tillers;t.ha-1;p;real;0;1
mortreserve;biomass of reserves corresponding to dead tillers;t.ha-1.d-1;p;real;0;1
MSexporte;cumulative amount of harvested biomass;t.ha-1;p;real;0;1
msjaune;senescent biomass of the plant;t.ha-1;p;real;0;2
msneojaune;newly-formed senescent biomass;t.ha-1;p;real;0;2
msrac(n);biomass of roots;t.ha-1;p;real;n;0
msracf(1);biomass of fine roots in layer 1;t.ha-1;p;real;1;0
msracf(2);biomass of fine roots in layer 2;t.ha-1;p;real;2;0
msracf(3);biomass of fine roots in layer 3;t.ha-1;p;real;3;0
msracf(4);biomass of fine roots in layer 4;t.ha-1;p;real;4;0
msracf(5);biomass of fine roots in layer 5;t.ha-1;p;real;5;0
msracg(1);biomass of coarse roots in layer 1;t.ha-1;p;real;1;0
msracg(2);biomass of coarse roots in layer 2;t.ha-1;p;real;2;0
msracg(3);biomass of coarse roots in layer 3;t.ha-1;p;real;3;0
msracg(4);biomass of coarse roots in layer 4;t.ha-1;p;real;4;0
msracg(5);biomass of coarse roots in layer 5;t.ha-1;p;real;5;0
msracmort;Biomass of dead roots;t.ha-1;p;real;0;0
msracmortf(1);cumulative biomass of dead fine roots in layer 1;t.ha-1;p;real;1;0
msracmortf(2);cumulative biomass of dead fine roots in layer 2;t.ha-1;p;real;2;0
msracmortf(3);cumulative biomass of dead fine roots in layer 3;t.ha-1;p;real;3;0
msracmortf(4);cumulative biomass of dead fine roots in layer 4;t.ha-1;p;real;4;0
msracmortf(5);cumulative biomass of dead fine roots in layer 5;t.ha-1;p;real;5;0
msracmortg(1);cumulative biomass of dead coarse roots in layer 1;t.ha-1;p;real;1;0
msracmortg(2);cumulative biomass of dead coarse roots in layer 2;t.ha-1;p;real;2;0
msracmortg(3);cumulative biomass of dead coarse roots in layer 3;t.ha-1;p;real;3;0
msracmortg(4);cumulative biomass of dead coarse roots in layer 4;t.ha-1;p;real;4;0
msracmortg(5);cumulative biomass of dead coarse roots in layer 5;t.ha-1;p;real;5;0
msrec_fou;biomass of harvested forage;t.ha-1;p;real;0;1
msrec_fou_coupe;Dry matter of harvested organs for forages at cutting;t.ha-1;p;real;0;0
msrec_fou_tot;Dry matter of harvestable organs for forages cumulated over the USM ;t.ha-1;p;real;0;0
MSrecycle;cumulative amount of biomass returned to soil (unexported at harvest + fallen leaves);t.ha-1;p;real;0;1
msresjaune;senescent residual dry matter;t.ha-1;p;real;0;2
mstot;biomass of whole plant (aerial + root + perennial organs);t.ha-1;p;real;0;0
N_mineralisation;cumulative amount of N mineralized from humus and organic residues;kg.ha-1;sc;real;0;0
n_tot_irrigations;total number of rrigations;SD;sc;integer;0;0
N_volatilisation;cumulative amount of N volatilised from fertilizer and organic inputs;kg.ha-1;soil;real;0;0
Nb;amount of N in the microbial biomass decomposing organic residues mixed with soil;kg.ha-1;sc;real;0;0
nb_days_frost_amf_120;number of days of tcultmin< tdebgel  from amf stage to amf+120 degrees day;d;p;integer;0;1
nb_days_humair_gt_90_percent1;number of days when humair_percent >=90% between amf and lax;days;sc;integer;0;0
nb_days_humair_gt_90_percent2;number of days when humair_percent >=90% between lax and drp;days;sc;integer;0;0
nbfeuille;number of leaves on main stem;SD;p;integer;0;1
nbinflo_recal;number of inflorescences per plant;SD;p;real;0;1
nbj0remp;number of shrivelling days;d;p;integer;0;1
nbjechaudage;number of shrivelling days between lax and rec;d;c;integer;0;0
nbjgel;number of frosting days active on the plant;d;p;integer;0;1
nbjpourdecirecolte;number of days until harvest is launched when it is postponed by the harvest decision option;d;p;integer;0;1
nbjpourdecisemis;number of days until sowing is launched when it is postponed by the sowing decision option;d;p;integer;0;1
Nbmulch;amount of N in microbial biomass decomposing the decomposable mulch;kg.ha-1;sc;real;0;0
NCbio;N/C ratio of biomass decomposing organic residues;SD;sc;real;0;0
Ndenit;daily denitrification rate in soil (if option denitrification is activated);kg.ha-1.d-1;soil;real;0;0
Ndfa;proportion of total plant N issued from N fixation;0-1;p;real;0;0
Nexporte;cumulative amount of N removed by crop harvests;kg.ha-1;p;real;0;1
nfruit(1);number of fruits in box 1;SD;p;real;1;2
nfruit(2);number of fruits in box 2;SD;p;real;2;2
nfruit(3);number of fruits in box 3;SD;p;real;3;2
nfruit(4);number of fruits in box 4;SD;p;real;4;2
nfruit(5);number of fruits in box 5;SD;p;real;5;2
nfruit(nboite);number of fruits in last box;SD;p;real;p%P_nboite;2
nfruit(nboite-1);number of fruits in last but one box;SD;p;real;p%P_nboite-1;2
nfruitnou;number of set fruits;fruits.m-2;p;real;0;2
Nhuma;amount of N in active soil organic matter;kg.ha-1;sc;real;0;0
Nhumi;amount of N in inert soil organic matter;kg.ha-1;sc;real;0;0
Nhumt;amount of N in humus soil organic matter (active + inert fractions);kg.ha-1;sc;real;0;0
nit_1_30;amount of  NO3-N in the soil layer 1 to 30 cm;kg.ha-1;sc;real;0;0
nit_31_60;amount of  NO3-N in the soil layer 31 to 60 cm;kg.ha-1;sc;real;0;0
nit_61_90;amount of  NO3-N in the soil layer 61 to 90 cm;kg.ha-1;sc;real;0;0
soilN_rootdepth;amount of  NO3-N in soil in the maximum root depth;kg.ha-1;sc;real;0;0
nitetcult(n);number of iterations to calculate tcult;SD;c;integer;n;0
nitrifj;daily nitrification rate in soil (if option nitrification is activated);kg.ha-1;soil;real;0;0
Nmineral_from_lev;cumulative amount of N mineralized during the crop cycle ( emergence or budbreak-harvest);kg.ha-1;sc;real;0;0
Nmineral_from_plt;cumulative amount of N mineralized during the crop cycle (sowing-harvest);kg.ha-1;sc;real;0;0
Nmulch;amount of N in the plant mulch;kg.ha-1;sc;real;0;0
Nmulchdec;amount of N in the decomposable mulch;kg.ha-1;sc;real;0;0
Nmulchnd;amount of N in the non decomposable mulch;kg.ha-1;sc;real;0;0
Nnondec(1);amount of N in the undecomposable mulch derived from residues type 1;kg.ha-1;sc;real;1;0
Nnondec(10);amount of N in the undecomposable mulch derived from residues type 10;kg.ha-1;sc;real;10;0
Nnondec(2);amount of N in the undecomposable mulch derived from residues type 2;kg.ha-1;sc;real;2;0
Nnondec(3);amount of N in the undecomposable mulch derived from residues type 3;kg.ha-1;sc;real;3;0
Nnondec(4);amount of N in the undecomposable mulch derived from residues type 4;kg.ha-1;sc;real;4;0
Nnondec(5);amount of N in the undecomposable mulch derived from residues type 5;kg.ha-1;sc;real;5;0
Nnondec(6);amount of N in the undecomposable mulch derived from residues type 6;kg.ha-1;sc;real;6;0
Nnondec(7);amount of N in the undecomposable mulch derived from residues type 7;kg.ha-1;sc;real;7;0
Nnondec(8);amount of N in the undecomposable mulch derived from residues type 8;kg.ha-1;sc;real;8;0
Nnondec(9);amount of N in the undecomposable mulch derived from residues type 9;kg.ha-1;sc;real;9;0
nodn;reduction factor on nodulation establishment (potential BNF) due to mineral N stress;0-1;sc;real;0;0
Norgeng;daily amount of N immobilized from fertiliser;kg.ha-1.d-1;soil;real;0;0
Nr;amount of N in the decomposing organic residues mixed with soil;kg.ha-1;sc;real;0;0
Nrecycle;cumulative amount of N returned to soil (unexported at harvest + fallen leaves);kg.ha-1;p;real;0;1
Nresiduprofil(1);amount of N in organic residues over the profhum depth, derived from residues type 1;kg.ha-1;sc;real;1;0
Nresiduprofil(10);amount of N in organic residues over the profhum depth, derived from residues type 10;kg.ha-1;sc;real;10;0
Nresiduprofil(2);amount of N in organic residues over the profhum depth, derived from residues type 2;kg.ha-1;sc;real;2;0
Nresiduprofil(3);amount of N in organic residues over the profhum depth, derived from residues type 3;kg.ha-1;sc;real;3;0
Nresiduprofil(4);amount of N in organic residues over the profhum depth, derived from residues type 4;kg.ha-1;sc;real;4;0
Nresiduprofil(5);amount of N in organic residues over the profhum depth, derived from residues type 5;kg.ha-1;sc;real;5;0
Nresiduprofil(6);amount of N in organic residues over the profhum depth, derived from residues type 6;kg.ha-1;sc;real;6;0
Nresiduprofil(7);amount of N in organic residues over the profhum depth, derived from residues type 7;kg.ha-1;sc;real;7;0
Nresiduprofil(8);amount of N in organic residues over the profhum depth, derived from residues type 8;kg.ha-1;sc;real;8;0
Nresiduprofil(9);amount of N in organic residues over the profhum depth, derived from residues type 9;kg.ha-1;sc;real;9;0
Nrprof;amount of N in deep organic residues mixed with soil (below the profhum depth);kg.ha-1;sc;real;0;0
Nrtout;total amount of N in organic residues present over the whole soil profile;kg.ha-1;sc;real;0;0
Nsurplus;Difference between N inputs and outputs to the soil, including organic fertilizer inputs;kg.ha-1;sc;real;0;0
Nsurplus_min;Difference between N inputs and outputs to the soil, without organic fertilizer inputs;kg.ha-1;sc;real;0;0
numcoupe;cut number;SD;p;integer;0;1
numcult;crop season number;SD;sc;integer;0;0
Nvolat_from_lev;cumulative amount of N volatilised during the crop cycle( emergence or budbreak-harvest);kg.ha-1;sc;real;0;0
Nvolat_from_plt;cumulative amount of N volatilised during the crop cycle (planting-harvest);kg.ha-1;sc;real;0;0
Nvoleng;daily amount of N volatilised from fertiliser;kg.ha-1.d-1;soil;real;0;0
Nvolorg;daily amount of N volatilised from organic inputs;kg.ha-1.d-1;soil;real;0;0
offrenod;daily amount of N fixed symbiotically (BNF);kg.ha-1.d-1;p;real;0;2
p1000grain;1000 grains weight (dry weight);g;p;real;0;1
pdsfruit(1);weight of fruits in box 1;g.m-2;p;real;1;2
pdsfruit(2);weight of fruits in box 2;g.m-2;p;real;2;2
pdsfruit(3);weight of fruits in box 3;g.m-2;p;real;3;2
pdsfruit(4);weight of fruits in box 4;g.m-2;p;real;4;2
pdsfruit(5);weight of fruits in box 5;g.m-2;p;real;5;2
pdsfruit(nboite);weight of fruits in last box;g.m-2;p;real;p%P_nboite;2
pdsfruit(nboite-1);weight of fruits in last but one box;g.m-2;p;real;p%P_nboite-1;2
pdsfruitfrais;weight of fresh fruits;g.m-2;p;real;0;2
penfruit;ratio of fruit envelops to plant biomass;0-1;p;real;0;2
pfeuil(n);ratio of leaves to plant biomass;0-1;p;real;n;2
pfeuiljaune;ratio of yellow leaves to plant biomass;0-1;p;real;0;2
pfeuilverte(n);ratio of green leaves to non-senescent plant biomass;0-1;p;real;n;2
phoi;photoperiod;hour;c;real;0;0
pHvol;pH of soil surface as affected by organic residues application (slurry);SD;soil;real;0;0
pousfruit;number of fruits transferred from one box to the next;SD;p;real;0;2
poussracmoy;mean reduction factor on the root growth due to soil constraints (option true density);0-1;p;real;0;1
precip;daily amount of water added to soil (precipitation + irrigation - mulch interception - runoff at the surface);mm.d-1;sc;real;0;0
precipjN;daily amount of mineral N added to soil due to precipitation;kg.ha-1.d-1;sc;real;0;0
precipN;cumulative amount of mineral N added to soil due to precipitation;kg.ha-1;sc;real;0;0
preciprec(n);recalculated daily precipitation;mm.d-1;c;real;n;0
preserve;proportion of reserve in total plant biomass;0-1;p;real;0;2
profexteau;average depth of water absorption by plant;cm;p;real;0;1
profextN;average depth of N absorption by plant;cm;p;real;0;1
profnappe;depth of water table;cm;soil;real;0;0
psibase;predawn leaf water potential;MPa;p;real;0;1
ptigestruc;proportion of structural stems in total plant biomass;0-1;p;real;0;2
q_irrigations(1);amount of irrigation;mm;sc;real;1;0
q_irrigations(10);amount of irrigation;mm;sc;real;10;0
q_irrigations(11);amount of irrigation;mm;sc;real;11;0
q_irrigations(12);amount of irrigation;mm;sc;real;12;0
q_irrigations(13);amount of irrigation;mm;sc;real;13;0
q_irrigations(14);amount of irrigation;mm;sc;real;14;0
q_irrigations(15);amount of irrigation;mm;sc;real;15;0
q_irrigations(16);amount of irrigation;mm;sc;real;16;0
q_irrigations(17);amount of irrigation;mm;sc;real;17;0
q_irrigations(18);amount of irrigation;mm;sc;real;18;0
q_irrigations(19);amount of irrigation;mm;sc;real;19;0
q_irrigations(2);amount of irrigation;mm;sc;real;2;0
q_irrigations(20);amount of irrigation;mm;sc;real;20;0
q_irrigations(21);amount of irrigation;mm;sc;real;21;0
q_irrigations(22);amount of irrigation;mm;sc;real;22;0
q_irrigations(23);amount of irrigation;mm;sc;real;23;0
q_irrigations(24);amount of irrigation;mm;sc;real;24;0
q_irrigations(25);amount of irrigation;mm;sc;real;25;0
q_irrigations(26);amount of irrigation;mm;sc;real;26;0
q_irrigations(27);amount of irrigation;mm;sc;real;27;0
q_irrigations(28);amount of irrigation;mm;sc;real;28;0
q_irrigations(29);amount of irrigation;mm;sc;real;29;0
q_irrigations(3);amount of irrigation;mm;sc;real;3;0
q_irrigations(30);amount of irrigation;mm;sc;real;30;0
q_irrigations(4);amount of irrigation;mm;sc;real;4;0
q_irrigations(5);amount of irrigation;mm;sc;real;5;0
q_irrigations(6);amount of irrigation;mm;sc;real;6;0
q_irrigations(7);amount of irrigation;mm;sc;real;7;0
q_irrigations(8);amount of irrigation;mm;sc;real;8;0
q_irrigations(9);amount of irrigation;mm;sc;real;9;0
QCapp;cumulative amount of organic C added to soil;kg.ha-1;sc;real;0;0
QCO2hum;cumulative amount of CO2-C emitted due to mineralisation of humus;kg.ha-1;sc;real;0;0
QCO2mul;cumulative amount of CO2-C emitted due to mineralisation of residues in the mulch;kg.ha-1;sc;real;0;0
QCO2res;cumulative amount of CO2-C emitted due to mineralisation of residues (including mulch);kg.ha-1;sc;real;0;0
QCO2sol;cumulative amount of CO2-C emitted due to heterotrophic respiration (QCO2res + QCO2hum);kg.ha-1;sc;real;0;0
QCperennemort;cumulative amount of C in dead perennial organs;kg.ha-1;p;real;0;2
QCperennemort2;cumulative amount of C in dead perennial organs of the two plants;kg.ha-1;sc;real;0;0
QCplantetombe;cumulative amount of C added to soil by fallen leaves due to senescence;kg.ha-1;p;real;0;2
QCplantetombe2;cumulative amount of C added to soil by fallen leaves due to senescence for  the two plants;kg.ha-1;sc;real;0;0
QCprimed;cumulative amount of C mineralised by priming effect;kg.ha-1;sc;real;0;0
QCrac;amount of C in living roots;kg.ha-1;p;real;0;1
QCracmort;cumulative amount of C added to soil by dead roots;kg.ha-1;p;real;0;1
QCracmort2;cumulative amount of C added to soil by dead roots of  the two plants;kg.ha-1;sc;real;0;1
QCresorg;cumulative amount of C added to soil through organic exogenous residues;kg.ha-1;sc;real;0;0
QCressuite;cumulative amount of C added to soil due to aerial residues at harvest;kg.ha-1;p;real;0;1
QCressuite2;cumulative amount of C added to soil due to aerial residues at harvest for the two plants;kg.ha-1;sc;real;0;1
QCressuite_tot;cumulative amount of C added to soil by aerial residues from all harvests;t.ha-1;p;real;0;1
QCressuite_tot2;cumulative amount of C added to soil by aerial residues from all harvests of the two plants;kg.ha-1;sc;real;0;1
QCrogne;cumulative amount of C added to soil by fallen leaves due to trimming;kg.ha-1;p;real;0;0
QCrogne2;cumulative amount of C added to soil by fallen leaves due to trimming of the two plants;kg.ha-1;sc;real;0;0
Qdrain;water flow rate in mole drains;mm.d-1;soil;real;0;0
Qdraincum;cumulative amount of water flowing in mole drains;mm;soil;real;0;0
Qem_N2O;cumulative amount of N2O-N emitted from soil;kg.ha-1;sc;real;0;0
Qem_N2Oden;cumulative amount of N2O-N emitted from soil by denitrification;kg.ha-1;sc;real;0;0
Qem_N2Onit;cumulative amount of N2O-N emitted from soil by nitrification;kg.ha-1;sc;real;0;0
qexport;biomass exported out of the field;t.ha-1;p;real;0;0
Qfix;amount of N fixed symbiotically (BNF) between two cuts;kg.ha-1;p;real;0;2
Qfixtot;cumulative amount of N fixed symbiotically (BNF);kg.ha-1;p;real;0;2
Qfixtot2;cumulative amount of N fixed symbiotically (BNF) by the two plants;kg.ha-1;sc;real;0;0
Qles;cumulative amount of NO3-N leached at the base of the soil profile;kg.ha-1;sc;real;0;0
Qlesd;cumulative amount of NO3-N leached into mole drains;kg.ha-1;soil;real;0;0
Qmin;cumulative amount of mineralized N from soil;kg.ha-1;sc;real;0;0
Qminh;cumulative amount of mineralized N derived from humus decomposition;kg.ha-1;sc;real;0;0
Qminr;cumulative amount of mineralized N derived from organic residues decomposition;kg.ha-1;sc;real;0;0
qmulch;biomass of plant mulch;t.ha-1;sc;real;0;0
QNabso;cumulative N absorbed by the crop (fixation not included);kg.ha-1;p;real;0;2
QNabso2;cumulative N absorbed by the two crops (fixation not included);kg.ha-1;sc;real;0;0
QNabsoaer;cumulative N absorbed by the crop and allocated to the aerials;kg.ha-1;p;real;0;2
QNabsoper;cumulative N absorbed by the crop and allocated to the perennial organs;kg.ha-1;p;real;0;2
QNabsorac;cumulative N absorbed by the crop and allocated to the roots;kg.ha-1;p;real;0;2
QNabsotot;cumulative N taken up by the crop, including N fixation ;kg.ha-1;p;real;0;2
QNapp;cumulative amount of organic N added to soil (straw + roots + fallen leaves + organic fertilisers );kg.ha-1;sc;real;0;0
QNdenit;cumulative amount of N denitrified during the simulation period;kg.ha-1;soil;real;0;0
QNdenit_from_lev;cumulative amount of N denitrified during the crop cycle ( emergence or budbreak-harvest);kg.ha-1;sc;real;0;0
QNdenit_from_plt;cumulative amount of N denitrified during the crop cycle;kg.ha-1;sc;real;0;0
QNexport;Amount of nitrogen exported at harvest (harvested and removed parts);kg.ha-1;p;real;0;0
QNexport2;Amount of nitrogen exported at harvest from the two plants;kg.ha-1;sc;real;0;0
QNfauche;Amount of N exported in each cut;kg.ha-1;p;real;0;0
QNfauchetot;Cumulative amount of N exported by all cuts;kg.ha-1;p;real;0;0
QNfauchetot2;Cumulative amount of N exported by all cuts of the two plants;kg.ha-1;sc;real;0;0
QNfeuille;N content of structural part of the leaves;kg.ha-1;p;real;0;0
QNgaz;cumulative amount of gaseous N losses (through volatilisation and denitrification) ;kg.ha-1;soil;real;0;0
QNgrain;amount of N in harvested organs (grains / fruits);kg.ha-1;p;real;0;2
Qnitrif;cumulative amount of N nitrified in soil (if option nitrification is activated);kg.ha-1;sc;real;0;0
QNorgeng;cumulative amount of N immobilized from fertiliser;kg.ha-1;soil;real;0;0
QNperenne;amount of N in perennial organs;kg.ha-1;p;real;0;2
QNperennemort;cumulative amount of N in dead perennial organs;kg.ha-1;p;real;0;2
QNperennemort2;cumulative amount of N in dead perennial organs of the two plants;kg.ha-1;sc;real;0;0
QNplante;amount of N in plants (aerial + perennial organs), without roots;kg.ha-1;p;real;0;0
QNplante_mx_av_cut;Amount of nitrogen taken up by the plant before cut (for cut crops,  for others = QNplante);kg.ha-1;p;real;0;1
QNplantenp;amount of N in non perennial organs (aerials + roots);kg.ha-1;p;real;n;2
QNplantetombe;cumulative amount of N added to soil by fallen leaves;kg.ha-1;p;real;0;2
QNplantetombe2;cumulative amount of N added to soil by fallen leaves of the two plants;kg.ha-1;sc;real;0;0
QNprimed;cumulative amount of N mineralised by priming effect;kg.ha-1;sc;real;0;0
QNrac;amount of N in roots;kg.ha-1;p;real;0;1
QNracmort;cumulative amount of N added to soil by dead roots;kg.ha-1;p;real;0;1
QNracmort2;cumulative amount of N added to soil by dead roots of the two plants;kg.ha-1;sc;real;0;1
QNresorg;cumulative amount of organic exogenous N added to soil;kg.ha-1;sc;real;0;0
QNresperenne;amount of N in perennial reserves;kg.ha-1;p;real;0;2
QNresperennestruc;amount of N in the structural pool of perennial organs;kg.ha-1;p;real;0;0
QNressuite;cumulative amount of N added to soil by aerial residues at harvest;kg.ha-1;p;real;0;1
QNressuite_tot;cumulative amount of N added to soil by aerial residues from all harvests;kg.ha-1;p;real;0;1
QNressuite_tot2;cumulative amount of N added to soil by aerial residues from all harvests of the two plants;kg.ha-1;sc;real;0;1
QNressuite2;cumulative amount of N added to soil by aerial residues of the two plants;kg.ha-1;sc;real;0;1
QNrestemp;amount of N in temporary reserves of vegetative organs that can be remobilised;kg.ha-1;p;real;0;0
QNrogne;cumulative amount of N added to soil due to trimming;kg.ha-1;p;real;0;1
QNrogne2;cumulative amount of N added to soil due to trimming of the two plants;kg.ha-1;sc;real;0;1
QNtige;Structural nitrogen content in stems;kg.ha-1;p;real;0;0
QNtot;amount of N in whole plant (aerial + root + perennial organs);kg.ha-1;p;real;0;0
QNtot2;amount of N in whole plant (aerial + root + perennial organs) of the two plants;kg.ha-1;sc;real;0;0
QNveg;amount of N in vegetative organs;kg.ha-1;p;real;0;0
QNvegstruc;amount of N in the structural part of vegetative organs;kg.ha-1;p;real;0;0
QNvoleng;cumulative amount of N volatilised from fertiliser;kg.ha-1;soil;real;0;0
QNvolorg;cumulative amount of N volatilised from organic inputs;kg.ha-1;soil;real;0;0
qres_pature;amount of crop residue by pasture applied to the soil (fresh weight);t MF ha-1;sc;real;0;0
Qressuite;biomass of residues from the previous crop returned to soil at harvest (without fallen leaves);t.ha-1;p;real;0;1
Qressuite_tot;amount of total harvest residues (aerials + roots);t.ha-1;p;real;0;1
ra_recal;aerodynamic resistance between the canopy and the reference level zr;s.m-1;sta;real;0;0
raint;photosynthetic active radiation intercepted by the canopy;MJ.m-2;p;real;0;2
ras;aerodynamic resistance between the soil and the canopy;s.m-1;sc;real;0;0
ratioFT;Leaves to stem ratio;SD;p;real;0;0
Ratm;atmospheric radiation;MJ.m-2;sc;real;0;0
rc;resistance of canopy;s.m-1;p;real;0;1
rdif;ratio of diffuse radiation to global radiation;0-1;sc;real;0;0
remobilj;daily amount of biomass remobilized for growth;kg.ha-1.d-1;p;real;0;2
remontee;capillary uptake from the base of the soil profile;mm.d-1;soil;real;0;0
rendementsec;biomass of harvested organs (0% moisture);t.ha-1;p;real;0;1
resmes;amount of soil water integrated on the measurement depth;mm;sc;real;0;0
resperenne;biomass of metabolic reserves in the perennial organs;t.ha-1;p;real;0;2
resrac;soil water reserve in the root zone;mm;p;real;0;1
restemp;biomass reserves (carbohydrates) in shoots that can be accumulated or mobilized for crop growth;t.ha-1;p;real;0;2
rfpi;reduction factor on plant development due to photoperiod;0-1;p;real;0;1
rfvi;reduction factor on plant development due to vernalization;0-1;p;real;0;1
rlj;rate of root length growth;m.d-1;p;real;0;1
rltot;total root length (accounting for senescent roots);cm.cm-2;p;real;0;1
rltotf;total root length (accounting for senescent roots);cm.cm-2;p;real;0;1
rltotg;total root length (accounting for senescent roots);cm.cm-2;p;real;0;1
rmaxi;maximum water reserve used;mm;p;real;0;1
rnet;net radiation;MJ.m-2;sc;real;0;0
rnetS;net radiation at the soil surface;MJ.m-2;sc;real;0;0
rombre;fraction of the total radiation in the shade;0-1;p;real;0;1
rsoleil;fraction of the total radiation in the full sun;0-1;p;real;0;1
RsurRU;fraction of plant available water over the soil profile;0-1;sc;real;0;0
RsurRUrac;fraction of plant available water over the root profile;0-1;p;real;0;1
RU;plant available water content over the soil profile;mm;sc;real;0;0
ruissel;daily amount of water in total runoff (surface + overflow);mm.d-1;sc;real;0;0
ruisselsurf;daily amount of water in runoff at soil surface;mm.d-1;sc;real;0;0
ruisselt;cumulative amount of water in total runoff (surface + overflow);mm;sc;real;0;0
runoff_from_lev;cumulative amount of water in runoff (surface + overflow) during the crop cycle ( emergence or budbreak-harvest);mm;sc;real;0;0
runoff_from_plt;cumulative amount of water in runoff (surface + overflow) during the crop cycle (sowing-harvest);mm;sc;real;0;0
RUrac;maximum plant available water content over the root profile;mm;p;real;0;1
saturation;amount of water in the soil macroporosity;mm;sc;real;0;0
Sdepth(n);snow cover depth;m;c;real;n;0
senfac;reduction factor on leaf life span due to water stress (increasing senescence rate);0-1;p;real;0;2
sla;specific leaf area;cm2.g-1;p;real;0;2
SMN;amount of soil mineral N content over the soil profile;kg.ha-1;sc;real;0;0
SMNmes;amount of soil mineral N content over the depth profmes;kg.ha-1;sc;real;0;0
Snowaccu(n);daily snowfall accumulation (mm water equivalent);mm.d-1;c;real;n;0
Snowmelt(n);daily snowmelt (mm water equivalent);mm.d-1;c;real;n;0
SOC;amount of soil organic C (= Chumt + Cb) over the profhum depth;kg.ha-1;sc;real;0;0
SOCL(1);amount of soil organic C (= Chumt + Cb) in the layer 1;kg.ha-1;sc;real;0;0
SOCL(2);amount of soil organic C (= Chumt + Cb) in the layer 2;kg.ha-1;sc;real;0;0
SOCL(3);amount of soil organic C (= Chumt + Cb) in the layer 3;kg.ha-1;sc;real;0;0
SOCL(4);amount of soil organic C (= Chumt + Cb) in the layer 4;kg.ha-1;sc;real;0;0
