"variable";"details";"unit";"type"
"Nvolat_from_plt";"cumulative amount of N volatilised during the crop cycle (planting-harvest)";"kg.ha-1";"real"
"Nvolat_from_lev";"cumulative amount of N volatilised during the crop cycle( emergence or budbreak-harvest)";"kg.ha-1";"real"
"Nvoleng";"daily amount of N volatilised from fertiliser";"kg.ha-1.d-1";"real"
"offrenod";"daily amount of N fixed symbiotically (BNF)";"kg.ha-1.d-1";"real"
"p1000grain";"1000 grains weight";"g";"real"
"pdsfruit(1)";"weight of fruits in box 1";"g.m-2";"real"
"pdsfruit(2)";"weight of fruits in box 2";"g.m-2";"real"
"pdsfruit(3)";"weight of fruits in box 3";"g.m-2";"real"
"pdsfruit(4)";"weight of fruits in box 4";"g.m-2";"real"
"pdsfruit(5)";"weight of fruits in box 5";"g.m-2";"real"
"pdsfruit(nboite)";"weight of fruits in last box";"g.m-2";"real"
"pdsfruit(nboite-1)";"weight of fruits in last but one box";"g.m-2";"real"
"pdsfruitfrais";"weight of fresh fruits";"g.m-2";"real"
"penfruit";"ratio of fruit envelops to plant biomass";"0-1";"real"
"pfeuil(n)";"ratio of leaves to plant biomass";"0-1";"real"
"pfeuiljaune";"ratio of yellow leaves to plant biomass";"0-1";"real"
"pfeuilverte(n)";"ratio of green leaves to non-senescent plant biomass";"0-1";"real"
"phoi";"photoperiod";"hour";"real"
"pHvol";"pH of soil surface as affected by organic residues application (slurry)";"SD";"real"
"pousfruit";"number of fruits transferred from one box to the next";"SD";"real"
"poussracmoy";"mean reduction factor on the root growth due to soil constraints (option ""true density"")";"0-1";"real"
"precip";"daily amount of water added to soil (precipitation + irrigation)";"mm.d-1";"real"
"precipjN";"daily amount of mineral N added to soil due to precipitation";"kg.ha-1.d-1";"real"
"precipN";"cumulative amount of mineral N added to soil due to precipitation";"kg.ha-1";"real"
"preserve";"proportion of reserve in total plant biomass";"0-1";"real"
"profexteau";"average depth of water absorption by plant";"cm";"real"
"profextN";"average depth of N absorption by plant";"cm";"real"
"profnappe";"depth of water table";"cm";"real"
"psibase";"predawn leaf water potential";"MPa";"real"
"ptigestruc";"proportion of structural stems in total plant biomass";"0-1";"real"
"QCapp";"cumulative amount of organic C added to soil";"kg.ha-1";"real"
"QCO2hum";"cumulative amount of CO2-C emitted due to mineralisation of humus";"kg.ha-1";"real"
"QCO2mul";"cumulative amount of CO2-C emitted due to mineralisation of residues in the mulch";"kg.ha-1";"real"
"QCO2res";"cumulative amount of CO2-C emitted due to mineralisation of residues (including residues in mulch)";"kg.ha-1";"real"
"QCO2sol";"cumulative amount of CO2-C emitted due to heterotrophic respiration (QCO2res + QCO2hum)";"kg.ha-1";"real"
"QCplantetombe";"cumulative amount of C added to soil by fallen leaves due to senescence";"kg.ha-1";"real"
"QCprimed";"cumulative amount of C mineralised by priming effect";"kg.ha-1";"real"
"QCrac";"cumulative amount of C added to soil by dead roots";"kg.ha-1";"real"
"QCresorg";"cumulative amount of C added to soil through organic exogenous residues";"kg.ha-1";"real"
"QCressuite";"cumulative amount of C added to soil due to aerial residues at harvest";"kg.ha-1";"real"
"QCrogne";"cumulative amount of C added to soil by fallen leaves due to trimming";"kg.ha-1";"real"
"Qdrain";"water flow rate in mole drains";"mm.d-1";"real"
"Qdraincum";"cumulative amount of water flowing in mole drains";"mm";"real"
"Qem_N2O";"cumulative amount of N2O-N emitted from soil";"kg.ha-1";"real"
"Qem_N2Oden";"cumulative amount of N2O-N emitted from soil by denitrification";"kg.ha-1";"real"
"Qem_N2Onit";"cumulative amount of N2O-N emitted from soil by nitrification";"kg.ha-1";"real"
"Qfix";"cumulative amount of N fixed symbiotically (BNF)";"kg.ha-1";"real"
"Qles";"cumulative amount of NO3-N leached at the base of the soil profile";"kg.ha-1";"real"
"Qlesd";"cumulative amount of NO3-N leached into mole drains";"kg.ha-1";"real"
"Qminh";"cumulative amount of mineralized N derived from humus mineralisation";"kg.ha-1";"real"
"Qminr";"cumulative amount of mineralized N derived from organic residues mineralisation";"kg.ha-1";"real"
"qmulch";"biomass of plant mulch";"t.ha-1";"real"
"QNapp";"cumulative amount of organic N added to soil (from straw, roots, leaves, organic amendments, )";"kg.ha-1";"real"
"QNdenit";"cumulative amount of N denitrified during the simulation period";"kg.ha-1";"real"
"QNdenit_from_plt";"cumulative amount of N denitrified during the crop cycle";"kg.ha-1";"real"
"QNdenit_from_lev";"cumulative amount of N denitrified during the crop cycle ( emergence or budbreak-harvest)";"kg.ha-1";"real"
"QNexport";"Amount of nitrogen exported at harvest (harvested and removed parts)";"kgN.ha-1";"real"
"QNgrain";"amount of N in harvested organs (grains / fruits)";"kg.ha-1";"real"
"Qnitrif";"cumulative amount of N nitrified in soil (if option ""nitrification"" is activated)";"kg.ha-1";"real"
"QNorgeng";"cumulative amount of N immobilized from fertiliser";"kg.ha-1";"real"
"QNplante";"amount of N taken up by the plant";"kg.ha-1";"real"
"QNplante_mx_av_cut";"Amount of nitrogen taken up by the plant before cut(for cut crops , for others = Qnplante(n) )";"kgN.ha-";"real"
"QNplantetombe";"cumulative amount of N added to soil by fallen leaves due to senescence";"kg.ha-1";"real"
"QNprimed";"cumulative amount of N mineralised by priming effect";"kg.ha-1";"real"
"QNrac";"cumulative amount of N added to soil by dead roots";"kg.ha-1";"real"
"QNresorg";"cumulative amount of organic exogenous N added to soil";"kg.ha-1";"real"
"QNressuite";"cumulative amount of N added to soil by aerial residues at harvest";"kg.ha-1";"real"
"QNrogne";"cumulative amount of N added to soil by fallen leaves due to trimming";"kg.ha-1";"real"
"QNvoleng";"cumulative amount of N volatilised from fertiliser";"kg.ha-1";"real"
"QNvolorg";"cumulative amount of N volatilised from organic inputs";"kg.ha-1";"real"
"qres_pature";"amount of animal feces returned to the soil (fresh weight basis)";"t MF ha-1";"real"
"Qressuite";"biomass of residues from the previous crop returned to soil at harvest";"t.ha-1";"real"
"Qressuite_tot";"amount of total harvest residues (aerials + roots)";"t.ha-1";"real"
"ra_recal";"aerodynamic resistance between the canopy and the reference level zr";"s.m-1";"real"
"raint";"photosynthetic active radiation intercepted by the canopy";"MJ.m-2";"real"
"ras";"aerodynamic resistance between the soil and the canopy";"s.m-1";"real"
"Ratm";"atmospheric radiation";"MJ.m-2";"real"
"rc";"resistance of canopy";"s.m-1";"real"
"rdif";"ratio of diffuse radiation to global radiation";"0-1";"real"
"remobilj";"daily amount of biomass remobilized for growth";"kg.ha-1.d-1";"real"
"remontee";"capillary uptake from the base of the soil profile";"mm.d-1";"real"
"rendementsec";"dry biomass of harvested organs";"t.ha-1";"real"
"resmes";"amount of soil water integrated on the measurement depth";"mm";"real"
"resperenne";"biomass of perennial reserves which can be remobilized";"t.ha-1";"real"
"resrac";"soil water reserve in the root zone";"mm";"real"
"rfpi";"reduction factor on plant development due to photoperiod";"0-1";"real"
"rfvi";"reduction factor on plant development due to vernalization";"0-1";"real"
"rlj";"rate of root length growth";"m.d-1";"real"
"rltot";"total root length (accounting for senescent roots)";"cm.cm-2";"real"
"rmaxi";"maximum water reserve used";"mm";"real"
"rnet";"net radiation";"MJ.m-2";"real"
"rnetS";"net radiation at the soil surface";"MJ.m-2";"real"
"rombre";"fraction of the total radiation in the shade";"0-1";"real"
"rsoleil";"fraction of the total radiation in the full sun";"0-1";"real"
"RsurRU";"fraction of plant available water over the soil profile";"0-1";"real"
"RsurRUrac";"fraction of plant available water over the root profile";"0-1";"real"
"RU";"maximum plant available water content over the soil profile";"mm";"real"
"ruissel";"daily amount of water in total runoff (surface + overflow)";"mm.d-1";"real"
"ruisselsurf";"daily amount of water in runoff at soil surface";"mm.d-1";"real"
"ruisselt";"cumulative amount of water in total runoff (surface + overflow)";"mm";"real"
"runoff_from_plt";"cumulative amount of water in runoff (surface + overflow) during the crop cycle (sowing-harvest)";"mm";"real"
"runoff_from_lev";"cumulative amount of water in runoff (surface + overflow) during the crop cycle ( emergence or budbreak-harvest)";"mm";"real"
"RUrac";"maximum plant available water content over the root profile";"mm";"real"
"saturation";"amount of water in the soil macroporosity";"mm";"real"
"senfac";"reduction factor on leaf life span due to water stress (increasing senescence rate)";"0-1";"real"
"sla";"specific leaf area";"cm2.g-1";"real"
"SoilAvW";"amount of plant available water in soil over the depth ""profmes""";"mm";"real"
"SoilN";"amount of mineral N in soil over the depth ""profmes""";"kg.ha-1";"real"
"SoilNM";"amount of NO3-N in soil over the depth ""profmesN""";"kg.ha-1";"real"
"SoilWatM";"amount of plant available water in soil over the depth ""profmesW""";"mm";"real"
"som_HUR";"cumulative water content of the soil microporosity";"mm";"real"
"som_sat";"cumulative amount of water in the soil macroporosity";"mm";"real"
"somcour";"cumulative units of development (upvt) between two stages";"degreeC.d";"real"
"somcourdrp";"cumulative units of development (upvt) between two reproductive stages";"degreeC.d";"real"
"somcourfauche";"sum of temperature beetwen 2 cuts of forage crop";"degreeC.d";"real"
"somcourmont";"cumulative units of development from the start of vernalisation";"degreeC.d";"real"
"somdifftculttair";"cumulative temperature difference (tcult-tair) during the simulation period";"degreeC";"real"
"somtemp";"sum of temperatures (expressed in Q10 =sum (2.0 ** (udevair ou udevcult / 10.))";"degreeC.d";"real"
"somudevair";"sum of air temperature (udevair) from sowing to harvest";"degreeC";"real"
"somudevcult";"sum of crop temperature (udevcult) from sowing to harvest";"degreeC";"real"
"somupvtsem";"sum of development units (upvt) from sowing to harvest";"degreeC";"real"
"sourcepuits";"source to sink ratio of assimilates in the plant";"SD";"real"
"spfruit";"reduction factor on the fruits number due to trophic stress";"0-1";"real"
"splai";"source to sink ratio of assimilates in the leaves";"SD";"real"
"stemflow";"daily amount of water runoff along the stem";"mm.d-1";"real"
"str1intercoupe";"average stomatal water stress index during the vegetative phase (emergence - maximum LAI) of forage crops";"0-1";"real"
"str2intercoupe";"average stomatal water stress index during the reproductive phase (maximum LAI  - maturity) of forage crops";"0-1";"real"
"stu1intercoupe";"average turgescence water stress index during the vegetative phase (emergence - maximum LAI) of forage crops";"0-1";"real"
"stu2intercoupe";"average turgescence water stress index during the reproductive phase (maximum LAI  - maturity) of forage crops";"0-1";"real"
"sucre";"sugar content of harvested organs";"0-1";"real"
"sucre_percent";"sugar content of harvested organs";"% fresh weight";"real"
"surf(ao)";"fraction of the soil surface in the shade";"0-1";"real"
"surf(as)";"fraction of the soil surface in the sun";"0-1";"real"
"swfac";"stomatic water stress index";"0-1";"real"
"swfac1moy";"average stomatic water stress index over the vegetative stage";"0-1";"real"
"swfac2moy";"average stomatic water stress index over the reproductive stage";"0-1";"real"
"tairveille";"mean air temperature at the previous day";"degreeC";"real"
"tauxcouv(n)";"cover rate of the canopy";"SD";"real"
"tcult";"crop surface temperature (daily average)";"degreeC";"real"
"tcult_tairveille";"difference between canopy temperature and air temperature";"degreeC";"real"
"tcultmax";"crop surface temperature (daily maximum)";"degreeC";"real"
"tcultmin";"crop surface temperature (daily minimum)";"degreeC";"real"
"tempeff";"efficient temperature for growth";"degreeC";"real"
"tetp(n)";"efficient potential evapotranspiration (entered or calculated)";"mm.d-1";"real"
"tetstomate";"threshold of soil water content limiting transpiration and photosynthesis";"% vol";"real"
"teturg";"threshold of soil water content limiting the growth of leaves (in surface area)";"% vol";"real"
"tmax(n)";"maximum active temperature of atmosphere";"degreeC";"real"
"tmaxext(n)";"maximum temperature of external atmosphere";"degreeC";"real"
"tmin(n)";"minimum active temperature of atmosphere";"degreeC";"real"
"tminext(n)";"minimum temperature of external atmsphere";"degreeC";"real"
"tmoy(n)";"mean active temperature of atmosphere";"degreeC";"real"
"tmoyext(n)";"mean temperature of external atmosphere";"degreeC";"real"
"tmoyIpltJuin";"mean temperature from sowing or planting (iplt stage) until June 30";"degreeC";"real"
"tmoyIpltSept";"mean temperature from sowing or planting (iplt stage) until September 30";"degreeC";"real"
"tncultmat";"average of minimum crop temperatures (tcultmin) between the stages lax and rec";"degreeC";"real"
"tnhc";"cumulative ""normalized"" time for the mineralisation of humus";"d";"real"
"tnrc";"cumulative ""normalized"" time for the mineralisation of organic residues";"d";"real"
"totapN";"cumulative amount of mineral N added by mineral fertilisers and organic fertilisers";"kg.ha-1";"real"
"totapNres";"cumulative amount of mineral N added by organic fertilisers";"kg.ha-1";"real"
"totir";"cumulative amount of water inputs (precipitation + irrigation)";"mm";"real"
"tpm(n)";"water vapour pressure in air";"hPa";"real"
"trg(n)";"active radiation (entered or calculated)";"MJ.m-2";"real"
"trgext(n)";"exterior radiation";"MJ.m-2";"real"
"trr(n)";"daily rainfall";"mm.d-1";"real"
"TS(1)";"mean soil temperature (in horizon 1)";"degreeC";"real"
"TS(2)";"mean soil temperature (in horizon 2)";"degreeC";"real"
"TS(3)";"mean soil temperature (in horizon 3)";"degreeC";"real"
"TS(4)";"mean soil temperature (in horizon 4)";"degreeC";"real"
"TS(5)";"mean soil temperature (in horizon 5)";"degreeC";"real"
"turfac";"turgescence water stress index";"0-1";"real"
"turfac1moy";"average turgescence water stress index during the vegetative stage";"0-1";"real"
"turfac2moy";"average turgescence water stress index during the reproductive stage";"0-1";"real"
"tustress";"reduction factor on leaf growth due to the effective water stress  (= min(turfac,innlai))";"0-1";"real"
"tvent(n)";"mean daily wind speed at 2 m high above soil";"m.s-1";"real"
"udevair";"effective temperature for crop development, computed with tair";"degreeC.d";"real"
"udevcult";"effective temperature for crop development, computed with tcult";"degreeC.d";"real"
"ulai(n)";"relative development unit for LAI";"0-3";"real"
"upvt(n)";"development unit";"degreeC.d";"real"
"vitmoy";"mean canopy growth rate";"g.m-2.d-1";"real"
"xmlch1";"thickness of the dry layer created by evaporation from the soil and mulch";"cm";"real"
"zrac";"maximum depth reached by root system";"cm";"real"
"tsol(10)";"temperature in the soil at 10 cm ";"degrees";"real"
"hur_10_vol";"soil water content in the soil at 10 cm ";"cm/cm";"real"
